status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic,
26781952138_10155958247597139,"b'Music, movies, women drivers and more.'",b'How Crown Prince Mohammed bin Salman is changing Saudi Arabia',link,https://timesofindia.indiatimes.com/world/middle-east/music-movies-women-drivers-how-crown-prince-is-changing-saudi-arabia/articleshow/61299935.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 12:21,74,2,4,65,8,1,0,0,0,0,0.444444444,world,middle-east
26781952138_10155958217592139,"b""Srikanth's dream season turned even better with his 5th entry into the Super Series final""","b'Srikanth beats Prannoy to enter final, Sindhu out in French Open Super Series'",link,https://timesofindia.indiatimes.com/sports/badminton/french-open-super-series-srikanth-beats-prannoy-to-enter-final-sindhu-out/articleshow/61307237.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 12:06,109,3,2,98,11,0,0,0,0,0,0.5,sports,badminton
26781952138_10155958187512139,b'Good news for techies?',"b""H-1B visa issue raised with US 'very strongly', says Suresh Prabhu""",link,https://timesofindia.indiatimes.com/business/india-business/h-1b-visa-issue-raised-with-us-very-strongly-says-suresh-prabhu/articleshow/61291072.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 11:54,62,3,1,57,4,0,1,0,0,0,0.5,business,india-business
26781952138_10155958158872139,"b""Tonight's episode will see the entry of Gauahar Khan. Get all the LIVE updates of your favourite show here!""",b'Salman Khan declares Shilpa Shinde and Vikas Gupta safe from nominations in Bigg Boss',link,https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-11-day-27-live-updates-dhinchak-pooja-becomes-worst-performer-gauahar-khan-enters-the-house/articleshow/61309082.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 11:45,318,6,2,309,9,1,1,0,0,0,0.454545455,tv,news
26781952138_10155958114447139,"b'""I am doing this for reason of full disclosure, transparency and in order to put any and all conspiracy theories to rest""'","b""Will release all JFK files to end 'conspiracy theories', Donald Trump says""",link,https://timesofindia.indiatimes.com/world/us/will-release-all-jfk-files-to-end-conspiracy-theories-donald-trump-says/articleshow/61303780.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 11:45,39,1,2,35,4,0,0,0,0,0,0.5,world,us
26781952138_10155958092947139,b'A star-studded affair!',b'Check out the best celebrity looks from Jio Filmfare Awards Marathi 2017 red carpet',link,http://photogallery.indiatimes.com/awards/filmfare-awards/62nd-jio-filmfare-awards-marathi-2017/62nd-jio-filmfare-awards-marathi-red-carpet/articleshow/61294875.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 11:35,93,0,0,87,5,0,1,0,0,0,0.5,,
26781952138_10155958131237139,"b'""We have been waiting for this day for decades""'",b'Did Earth witness its first interstellar visitor?',link,https://timesofindia.indiatimes.com/home/science/mystery-space-object-may-be-first-confirmed-interstellar-visitor/articleshow/61306669.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 11:34,344,4,14,319,11,12,2,0,0,0,0.26,home,science
26781952138_10155955283177139,b'Please take care.',b'6 Cancer-Causing Foods You Should Stop Consuming Now!',link,http://recipes.timesofindia.com/articles/food-facts/6-cancer-causing-foods-you-should-stop-consuming-now/prevention-is-better-than-cure/photostory/60407251.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10/28/17 11:30,226,8,41,219,6,0,1,0,0,0,0.5,,
26781952138_10155958107977139,b'Another reason to get stoned?',b'Study proves marijuana smokers have more sex',link,https://timesofindia.indiatimes.com/home/science/sex-and-drugs-us-study-links-marijuana-use-to-more-intercourse/articleshow/61310101.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 11:24,137,18,2,110,8,4,15,0,0,0,0.425925926,home,science
26781952138_10155957974617139,"b'Former Finance Minister P Chidambaram also targeted PM Modi over ""hasty"" implementation of the GST and his pet bullet train project.'",b'Wuld have quit if forced to implement demonetisation: Chidambaram',link,https://timesofindia.indiatimes.com/india/i-would-have-quit-if-forced-to-implement-demonetisation-chidambaram/articleshow/61302559.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 10:45,288,89,18,232,9,0,46,0,1,0,0.482142857,india,i-would-have-quit-if-forced-to-implement-demonetisation-chidambaram
26781952138_10155957929552139,b'The government has proposed this amid increasing reports that e-commerce companies might be selling this data.',"b""Sharing consumers' private data may soon attract punishment""",link,https://www.gadgetsnow.com/tech-news/sharing-consumers-private-data-may-soon-attract-punishment/articleshow/61287011.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 10:40,31,1,2,30,1,0,0,0,0,0,0.5,,
26781952138_10155955257527139,b'This will make you drool!',"b""14 Indian 'Thalis' That Will Make You Fall In Love With!""",link,http://recipes.timesofindia.com/articles/food-facts/14-indian-thalis-that-will-make-you-fall-in-love-with/photostory/61275846.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10/28/17 10:30,129,4,5,119,8,2,0,0,0,0,0.4,,
26781952138_10155957866282139,b'How time flies!',"b""Actors who were once popular on TV; here's what they are doing now""",link,https://timesofindia.indiatimes.com/tv/news/hindi/actors-who-were-once-hot-property-on-tv-heres-what-they-are-doing-now/photostory/60171681.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 10:30,777,4,3,770,7,2,1,0,0,0,0.4,tv,news
26781952138_10155957968592139,b'Reactions?',b'Attractive people unlikely to get low-paying jobs',link,https://timesofindia.indiatimes.com/life-style/relationships/work/attractive-people-unlikely-to-get-low-paying-jobs/articleshow/61236732.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 10:29,48,7,3,44,1,0,3,0,0,0,0.5,life-style,relationships
