status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
228735667216_10155257246422217,"b'US Defence Secretary James Mattis warns Pyongyang that it would face a ""massive military response"" if it used nuclear weapons.'","b""North Korea nuclear threat 'accelerating'""",link,http://www.bbc.co.uk/news/world-asia-41787235?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 12:17:05,1055,202,108,854,40,30,28,33,71,0,-0.0891089108910891,world,asia
228735667216_10155257128187217,b'Jack Letts travelled to Syria in 2014. He has previously said he opposes IS \xe2\x80\x94 Kurdish officials say he was captured in May and is being held in a prison in northern Syria.',"b""British man 'charged with being IS member'""",link,http://www.bbc.co.uk/news/uk-41784827?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 11:29:07,794,164,48,703,25,15,38,7,6,0,0.27472527472527475,uk,
228735667216_10155257030382217,b'It is a record for a wristwatch sold at auction.',"b""Paul Newman's watch sells for $18m in New York""",link,http://www.bbc.co.uk/news/world-us-canada-41787046?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 10:47:29,1302,149,120,1000,38,236,19,6,3,0,0.07947019867549669,world,us
228735667216_10155256943712217,"b'Mogadishu is rocked by two explosions in quick succession, two weeks after a huge bomb killed more than 350 people.'",b'Explosions rock Somali capital',link,http://www.bbc.co.uk/news/world-africa-41790476?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 10:06:09,4839,191,790,1494,26,411,12,2693,204,0,-0.4272265391512253,world,africa
228735667216_10155256574637217,"b'""You can be surrounded by people, but it is the number of close relationships that is associated with a reduced risk for dementia.""'",b'Marriage & close friends may protect against dementia',link,http://www.bbc.co.uk/news/health-41780686?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 07:14:57,2356,194,402,2158,109,27,49,13,1,0,0.36180904522613067,health,
228735667216_10155256278057217,b'Did you get enough sleep last night?',b'10 charts that show why sleep is so important',link,http://www.bbc.co.uk/news/health-41666563?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 04:18:02,3367,266,569,3248,57,40,3,15,5,0,0.16666666666666666,health,
228735667216_10155256182962217,"b""Spain's Deputy PM Soraya Saenz de Santamaria is put in charge of Catalonia after its government was dismissed.""",b'Spain takes charge of Catalan government',link,http://www.bbc.co.uk/news/world-europe-41785292?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 03:17:01,4580,565,402,3286,243,160,86,91,715,0,-0.18416988416988417,world,europe
228735667216_10155256112042217,"b'Cambridge University say the online repository has ""never seen numbers like this before"".'","b""Stephen Hawking's PhD viewed two million times""",link,http://www.bbc.co.uk/news/uk-england-cambridgeshire-41775910?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-28 02:15:39,8826,137,538,8034,425,321,40,4,3,0,0.28877679697351827,uk,england
228735667216_10155255312537217,"b'""Why are you asking me what I wore? It should not happen, no means no.""'",b'Why only one in five sex assault cases go to court',link,http://www.bbc.com/news/world-us-canada-41766627?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 17:50:13,2824,192,246,2183,51,32,9,239,310,0,-0.38143525741029644,world,us
228735667216_10155255303912217,b'The actresses are the latest women to make allegations against film director James Toback.',b'Selma Blair and Rachel McAdams make harassment claims',link,http://www.bbc.co.uk/news/entertainment-arts-41775027?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 17:45:09,2515,230,92,2037,56,115,25,246,37,0,-0.21085594989561587,entertainment,arts
228735667216_10155255021777217,"b'Surely this should have been: ""Eleven things you need to know about Stranger Things""... \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f'",b'BBC Entertainment News',link,http://www.bbc.co.uk/news/entertainment-arts-41761518,2017-10-27 16:09:17,1322,116,2,1190,92,7,32,1,0,0,0.4659090909090909,entertainment,arts
228735667216_10155254848077217,"b""Downing Street said the declaration was based on an illegal vote. But The Scottish Government said it respected Catalonia's position.""","b""UK 'won't recognise' Catalan independence""",link,http://www.bbc.co.uk/news/uk-politics-41783238?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 15:21:24,5449,980,651,3739,266,146,252,90,957,0,-0.15458796025715957,uk,politics
228735667216_10155254531807217,"b""Her husband dropped her at a doctor's appointment in 1975 - and that was the last he ever heard of her.""",b'Missing US woman found alive 42 years later',link,http://www.bbc.co.uk/news/world-us-canada-41767635?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 12:53:05,10677,281,646,6844,387,3076,33,332,6,0,0.01069379238393323,world,us
228735667216_10155254242117217,"b'British-born novelist Christina Baker Kline says the ex-president ""squeezed my butt"" as she posed for a photo.'",b'Third woman accuses George Bush Snr of groping',link,http://www.bbc.co.uk/news/world-us-canada-41771986?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 11:13:54,3871,1129,304,2461,39,185,766,92,329,0,0.13607370659107015,world,us
228735667216_10155254016922217,b'Do hotel comparison sites really give you the best deal?',b'Popular hotel booking sites to be investigated',link,http://www.bbc.co.uk/news/business-41769488?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 09:34:09,1645,178,268,1460,24,73,77,1,10,0,0.24324324324324326,business,
228735667216_10155253874762217,b'The Catalan parliament votes to declare independence from Spain - as Madrid looks set to impose direct rule.',b'Catalans declare independence from Spain',link,http://www.bbc.co.uk/news/world-europe-41780116?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 08:36:37,36761,2020,10205,25937,2348,7116,558,397,405,0,0.09719142645971915,world,europe
228735667216_10155253808992217,"b'George Harvey\'s carer found a note saying he was desperate to fly ""one last time before the wooden overcoat"".'",b'WW2 pilot takes to the skies aged 96',link,http://www.bbc.co.uk/news/uk-scotland-north-east-orkney-shetland-41774014?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-27 07:59:09,6098,111,346,5082,800,196,8,11,2,0,0.39085545722713866,uk,scotland
