status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
5550296508_10157505975141509,"b'Three people have been killed in the same neighborhood in less than two weeks, leaving a Florida community terrified that a serial killer is on the loose.'","b'Tampa mayor on mystery killer: ""Bring me his head on a platter""'",link,http://www.cnn.com/2017/10/28/us/tampa-unsolved-killings-mayor-speaks/index.html?sr=fbCNN102817tampa-unsolved-killings-mayor-speaks1125AMVODtop,2017-10-28 10:30:13,582,98,106,285,11,93,6,169,18,0,-0.28619528619528617,us,tampa-unsolved-killings-mayor-speaks
5550296508_10157505885651509,"b""Six other US crew members were injured in the crash in Afghanistan's Logar province Friday evening""",b'US service member dies in Afghanistan helicopter crash',link,http://www.cnn.com/2017/10/28/asia/afghanistan-chopper-crash/index.html?sr=fbCNN102817afghanistan-chopper-crash1042AMStory,2017-10-28 10:00:12,435,77,45,188,1,22,5,215,4,0,-0.4311740890688259,asia,afghanistan-chopper-crash
5550296508_10157505786031509,"b'With a Harvard Law School degree, experience teaching law and eight years as commander in chief, former President Barack Obama makes a pretty decent candidate for jury duty.'",b'Barack Obama called for jury duty in Illinois',link,http://www.cnn.com/2017/10/28/politics/obama-jury-duty/index.html?sr=fbCNN102817obama-jury-duty0743AMStory,2017-10-28 09:30:21,12757,619,500,10037,1238,126,1350,3,6,0,0.47355857510099153,politics,obama-jury-duty
5550296508_10157505569711509,"b'The man, described as a ""loving father and hard-working carpenter,"" helped repair homes after the hurricane.'","b'Man dies from rare, flesh-eating bacteria after Harvey cleanup'",link,http://www.cnn.com/2017/10/24/health/houston-flood-flesh-eating-bacteria-kills-man-bn/index.html?sr=fbCNN102517houston-flood-flesh-eating-bacteria-kills-man-bn1101AMVODtop,2017-10-28 08:30:27,1081,54,153,327,6,82,0,661,5,0,-0.4376657824933687,health,houston-flood-flesh-eating-bacteria-kills-man-bn
5550296508_10157505448396509,"b'""I cannot believe the media produced such beautiful children... How the media did this, I don\'t know."" - President Donald J. Trump'","b""President Trump cracks media jokes to reporters' kids""",link,http://www.cnn.com/2017/10/27/politics/trump-halloween-media-kids-jokes/index.html?sr=fbCNN102817trump-halloween-media-kids-jokes0749AMVODtop,2017-10-28 08:00:16,2902,1333,181,795,68,170,515,107,1249,0,-0.18326220957799905,politics,trump-halloween-media-kids-jokes
5550296508_10157505376781509,b'This washing method came out on top in a study on removing two pesticide residues from fruit.',"b""How 'bout washing them apples?""",link,http://www.cnn.com/2017/10/25/health/apples-pesticides-wash-study/index.html?sr=fbCNN102517apples-pesticides-wash-study0427PMVODtop,2017-10-28 07:30:37,911,99,290,857,18,31,2,1,3,0,0.14545454545454545,health,apples-pesticides-wash-study
5550296508_10157505297526509,"b'""We\'ll see!"": When faced with a pointed question, President Donald J. Trump has evaded giving a hard answer on a position or action more than 100 times'",b'The art of the Trumpian non-answer',link,http://www.cnn.com/2017/10/27/politics/trump-says-well-see-were-looking-into/index.html?sr=fbCNN102717trump-says-well-see-were-looking-into0706AMVODtop,2017-10-28 07:00:39,269,130,50,175,3,5,48,2,36,0,0.06914893617021277,politics,trump-says-well-see-were-looking-into
5550296508_10157505002871509,"b'It is described as ""arguably the most iconic collector\'s wristwatch of the 20th century.""'",b'The most expensive Rolex ever just fetched $17.8 million',link,http://money.cnn.com/2017/10/27/news/paul-newman-rolex-auction-record/index.html?sr=fbCNN102717paul-newman-rolex-auction-record1236PMStory,2017-10-28 04:30:22,736,199,122,559,25,130,16,2,5,0,0.09550561797752809,news,paul-newman-rolex-auction-record
5550296508_10157504910946509,"b'We, in the international community, must recognize the Rohingya crisis in Myanmar as a genocide via CNN Opinion'","b""There's only one conclusion on the Rohingya in Myanmar: It's genocide""",link,http://www.cnn.com/2017/10/23/opinions/myanmar-rohingya-genocide/index.html?sr=fbCNN102317myanmar-rohingya-genocide0159PMVODtop,2017-10-28 03:30:18,1065,103,294,531,8,8,3,411,104,0,-0.47191011235955055,opinions,myanmar-rohingya-genocide
5550296508_10157504819456509,b'Three Latina engineers have sued Uber. The women say they were paid less than their white male and Asian colleagues.',"b'Uber sued for gender, racial pay inequity'",link,http://money.cnn.com/2017/10/26/technology/business/uber-gender-race-pay-equity-lawsuit/index.html?sr=fbCNN102617business0411PMStory,2017-10-28 02:30:21,534,112,56,409,13,18,54,6,34,0,0.108,technology,
