status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
5863113009_10155972709788010,"b""Tip: After disaster strikes, answer kids' questions and validate their feelings.""","b'How to talk to kids about fires and earthquakes, before and after they happen'",link,http://www.latimes.com/local/lanow/la-me-edu-kids-disaster-preparedness-20171027-htmlstory.html,2017-10-28 11:10:01,23,4,11,23,0,0,0,0,0,0,0,local,lanow
5863113009_10155973150773010,b'At least 230 people in L.A. County have fallen sick with West Nile this year.',b'L.A. County death toll from West Nile virus climbs to 17',link,http://www.latimes.com/local/california/la-me-ln-west-nile-20171027-htmlstory.html,2017-10-28 10:10:01,131,13,52,52,0,52,1,24,2,0,-0.15822784810126583,local,california
5863113009_10155973458098010,"b""Trump's planning to shrink the boundaries of Bears Ears and Grand Staircase-Escalante national monuments.""","b'Trump plans to shrink two national monuments in Utah, senator says'",link,http://www.latimes.com/nation/la-na-utah-national-monuments-20171027-story.html,2017-10-28 09:10:00,434,49,92,48,4,7,7,45,323,0,-0.46243523316062174,nation,
5863113009_10155973428803010,b'In which Jonathan Gold interviews Jonathan Gold.',b'Jonathan Gold asks himself why Vespertine is No. 1 \xe2\x80\x93 and whether he even likes it',link,http://www.latimes.com/food/dailydish/la-fo-jonathan-gold-vespertine-101-questions-20171027-htmlstory.html,2017-10-28 04:10:01,23,7,1,23,0,0,0,0,0,0,0,food,dailydish
5863113009_10155972727153010,b'When spicy means spicy.',"b""Eating some of the best fried chicken in L.A. with Howlin' Ray's chef Johnny Zone""",link,http://www.latimes.com/food/dailydish/la-fo-howlin-rays-fried-chicken-20171021-htmlstory.html,2017-10-28 03:10:00,101,14,16,96,5,0,0,0,0,0,0.5,food,dailydish
5863113009_10155973139853010,"b""Nearly 3,000 secret documents about Kennedy's assassination were released.""","b""Trump on JFK assassination files: 'It is my hope to get just about everything to public!'""",link,http://www.latimes.com/politics/la-pol-updates-trump-tweets-jfk-files-transparency-htmlstory.html,2017-10-28 02:40:00,114,70,10,69,11,2,31,0,1,0,0.45555555555555555,politics,
5863113009_10155972675083010,b'Some good cheap eats.',"b""14 budget-friendly places to eat on Jonathan Gold's 101 best restaurants list""",link,http://www.latimes.com/food/dailydish/la-dd-jgold-101-cheap-eats-20171027-story.html,2017-10-28 02:10:01,114,1,23,109,5,0,0,0,0,0,0.5,food,dailydish
5863113009_10155973392728010,b'Derrick Johnson was officially selected as NAACP president this month.',"b'Newly elected president of NAACP talks Trump, voting rights and NFL protests'",link,http://www.latimes.com/nation/la-na-naacp-president-20171025-htmlstory.html,2017-10-28 01:40:00,48,12,2,42,2,0,4,0,0,0,0.5,nation,
5863113009_10155973321553010,"b'""It\'s time to rise,"" she said.'","b""Rose McGowan delivers fiery speech at inaugural Women's Convention:""",link,http://www.latimes.com/entertainment/la-et-entertainment-news-updates-rose-mcgowan-speech-womens-convention-1509125306-htmlstory.html,2017-10-28 01:10:00,273,29,15,224,40,4,4,0,1,0,0.4387755102040816,entertainment,
5863113009_10155973294833010,b'The case has shaken college basketball.',b'Three defendants in college basketball bribery case discussing resolution with prosecutors',link,http://www.latimes.com/sports/sportsnow/la-sp-college-basketball-case-20171027-story.html,2017-10-28 00:40:00,17,5,4,14,1,1,0,1,0,0,0.0,sports,sportsnow
5863113009_10155973061578010,b'The move will be implemented by 2024.',"b""McDonald's will shift to more humane chicken slaughter policy""",link,http://www.latimes.com/business/la-fi-mcdonalds-chicken-20171027-story.html,2017-10-28 00:10:00,225,118,29,155,18,8,36,2,6,0,0.32857142857142857,business,
5863113009_10155973471403010,"b'Astros beat the Dodgers in Game 3, taking a 2-1 lead in the World Series.'",b'Astros beat Dodgers 5-3',link,http://www.latimes.com/sports/la-sp-live-world-series-htmlstory.html,2017-10-27 23:12:57,554,74,49,247,49,12,17,128,101,0,-0.26547231270358307,sports,
5863113009_10155973094793010,"b""There's nowhere to hide.""",b'Weinstein sex accusations show the power of social media and the limits of shame in our celebrity-driven world',link,http://www.latimes.com/entertainment/movies/la-ca-shame-perspective-20171027-story.html,2017-10-27 23:10:00,47,18,4,44,2,1,0,0,0,0,0.3333333333333333,entertainment,movies
5863113009_10155973070258010,b'Henry died this year at the age of 8 while living with a foster family.',b'Owner who abandoned golden retriever with 42-pound tumor pleads guilty',link,http://www.latimes.com/local/lanow/la-me-dog-tumor-20171027-story.html,2017-10-27 22:40:01,1039,36,23,186,5,17,1,600,230,0,-0.48300117233294254,local,lanow
5863113009_10155971946538010,"b""Don't let a sideshow distract attention from the main event.\n\nvia Los Angeles Times Opinion""","b""'Who paid for the dossier?' doesn't matter; Russian meddling in our elections is what's important""",link,http://www.latimes.com/opinion/editorials/la-ed-clinton-dossier-20171027-story.html,2017-10-27 22:10:00,1496,284,362,1333,84,6,63,1,9,0,0.42024539877300615,opinion,editorials
5863113009_10155973282828010,b'Gurriel was caught on camera making an inappropriate gesture.',"b""Was Yuli Gurriel mocking Yu Darvish's Asian heritage after his home run?""",link,http://www.latimes.com/sports/la-sp-live-world-was-yuli-gurriel-mocking-yu-darvish-s-1509156397-htmlstory.html,2017-10-27 21:43:01,1064,261,210,204,3,110,21,19,707,0,-0.40813953488372096,sports,
